Source	Code	Description	Group_area	Group_area_code	ALFRED_sample_UID	Metapopulation_ID	Metapopulation_name	URL	Comments	Language_ISOs	Language_comments
LDLink	ACB	African Carribbeans in Barbados			see 1000Genomes						
LDLink	AMR	Ad Mixed American			see 1000Genomes	AMER_ADMIX	Admixed_American				
LDLink	MXL	Mexican Ancestry from Los Angeles, USA			see 1000Genomes						
LDLink	PUR	Puerto Ricans from Puerto Rico			see 1000Genomes						
LDLink	CLM	Colombians from Medellin, Colombia			see 1000Genomes						
LDLink	PEL	Peruvians from Lima, Peru			see 1000Genomes						
LDLink	EAS	East Asian			see 1000Genomes	ASIA_E	East_Asian				
LDLink	CHB	Han Chinese in Bejing, China			see 1000Genomes						
LDLink	JPT	Japanese in Tokyo, Japan			see 1000Genomes						
LDLink	CHS	Southern Han Chinese			see 1000Genomes						
LDLink	CDX	Chinese Dai in Xishuangbanna, China			see 1000Genomes						
LDLink	KHV	Kinh in Ho Chi Minh City, Vietnam			see 1000Genomes						
LDLink	EUR	European			see 1000Genomes	EURO	European				
LDLink	CEU	Utah Residents from North and West Europe			see 1000Genomes						
LDLink	TSI	Toscani in Italia			see 1000Genomes						
LDLink	FIN	Finnish in Finland			see 1000Genomes						
LDLink	GBR	British in England and Scotland			see 1000Genomes						
LDLink	IBS	Iberian population in Spain			see 1000Genomes						
LDLink	SAS	South Asian			see 1000Genomes	ASIA_S	South_Asian				
LDLink	GIH	Gujarati Indian from Houston, Texas			see 1000Genomes						
LDLink	PJL	Punjabi from Lahore, Pakistan			see 1000Genomes						
LDLink	BEB	Bengali from Bangladesh			see 1000Genomes						
LDLink	STU	Sri Lankan Tamil from the UK			see 1000Genomes						
LDLink	ITU	Indian Telugu from the UK 			see 1000Genomes						
The PAGE Study		Global				WRLD	World	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868975	Global population for the PAGE study	?	
The PAGE Study		AfricanAmerican				PO000098R	African_Americans	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868721	This population includes 16258 participants of African American descent.	eng	various Western African Bantu languages
The PAGE Study		Mexican				PO000504J	Mexicans	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868735	This population includes 5405 participants of Mexican descent	spa	
The PAGE Study		Asian				ASIA	Asian	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868722	This population includes 4159 participants of Asian descent.	?	
The PAGE Study		PuertoRican				PO000638R	Puerto_Rican	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868968	This population includes 3959 participants of Puerto Rican descent.	spa	
The PAGE Study		NativeHawaiian				HAWAII	Hawaiian	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868777	This population includes 2267 participants of Native Hawaiian descent.	haw	
The PAGE Study		Cuban				PO000596U	Cuban	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868733	This population includes 2115 participants of Cuban descent.	spa	
The PAGE Study		Dominican				DOMINICAN	Dominican	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868734	This population includes 1914 participants of Dominican descent.	spa	
The PAGE Study		CentralAmerican				AMER_C	Central_American	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868729	This population includes 1225 participants of Central American descent.	spa	
The PAGE Study		SouthAmerican				AMER_S	South_American	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868969	This population includes 991 participants of South American descent.	spa	
The PAGE Study		NativeAmerican				AMER_NATIVE	Native_American	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868739	This population includes 630 participants of Native American descent.	?	
The PAGE Study		SouthAsian				ASIA_S	South_Asian	https://www.ncbi.nlm.nih.gov/biosample/SAMN10868970	This population includes 428 participants of South Asian descent.	?	Draividian, Indo-Aryan ?
Genetic variation in the Estonian population		Estonian				PO000742N	Estonian	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA489787	Genetic variation in the Estonian population	est, ekk, vro	
The Avon Longitudinal Study of Parents and Children	AVON	PARENT AND CHILD COHORT, UK				PO000412H	British	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB7217	samples from the Department of Twin Research and Genetic Epidemiology (TwinsUK) and Avon Longitudinal Study of Parents and Children (ALSPAC) cohorts	eng	Possibly others
UK 10K study - Twins	UK10K	TWIN COHORT, UK				PO000412H	British	https://www.uk10k.org/studies/		eng	Possibly others
Northern Sweden	ACPOP	Swedish with Saami admixture				PO000413I	Swedes	https://www.biorxiv.org/content/10.1101/2020.02.18.933622v1.full	Västerbotten County, a sparsely populated region in northern Sweden previously shown to be genetically different from southern Sweden; Historically, the inland region has predominantly been inhabited by the indigenous Sami population, but settlement programs were initiated by the state during the mid- to late-17th century with the main part of the in-migration taking place from mid-18th to mid-19th century 	swe, sju	
A Vietnamese Genetic Variation Database		A Vietnamese Genetic Variation Database				PO000110C	Vietnamese			vie	
ALFRED	SA004058R	Han Chinese in Beijing, China (CHB)				PO000009J	Han	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000009J		cmn	
ALFRED	SA004060K	Japanese in Tokyo, Japan (JPT)				PO000010B	Japanese	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000010B		jpn	
ALFRED	SA004059S	Han Chinese South, China (CHS)				PO000009J	Han	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000009J		yue	
ALFRED	SA004238R	Chinese Dai in Xishuangbanna,China (CDX)				PO000464O	Dai	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000464O		khb, tdd, thi, cuu, zhd	
ALFRED	SA004249T	Kinh in Ho Chi Minh City, Vietnam (KHV)				PO000110C	Vietnamese	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000110C		vie	
ALFRED	SA004250L	Utah residents with Northern and Western European ancestry (CEU) 				PO000329O	European_Americans	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000329O		eng	
ALFRED	SA004057Q	Toscani in Italia (TSI)				PO000137L	Italians	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000137L		ita	
ALFRED	SA004049R	Finnish in Finland (FIN)				PO000018J	Finns	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000018J		fin	
ALFRED	SA004050J	British from England and Scotland (GBR)				PO000412H	British	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000412H		eng	
ALFRED	SA004108N	Iberian Populations in Spain (IBS)				PO000626O	Iberian	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000626O		spa	
ALFRED	SA004048Q	Yoruba in Ibadan, Nigeria (YRI)				PO000036J	Yoruba	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000036J		yor	
ALFRED	SA004046O	Luhya in Webuye, Kenya (LWK)				PO000867V	Luhya	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000867V		luy, bxk, ida, lkb, lko, lks, lri, lrm, lsm, lto, lts, lwg, nle, nyd, rag	
ALFRED	SA003646T	Gambians				PO000789Y	Gambian	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000789Y	Not the actual match (seems to be missing from ALFRED) but close enough	man, emk, mku, mlq, mnk, msc, mwk	
ALFRED	SA004244O	Mende in Sierra Leone (MSL)				PO000640K	Mende	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000640K		men	
ALFRED	SA004248S	Esan in Nigera (ESN)				PO000892T	Esan	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000892T		ish	
ALFRED	SA004047P	African Ancestry in SW USA (ASW)				PO000098R	African_Americans	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000098R		eng	various Western African Bantu languages
ALFRED	SA004242M	African Caribbean in Barbados (ACB)				PO000336M	Afro_Caribbeans	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000336M		bjs	English-based creole
ALFRED	SA004110G	Mexican Ancestry in Los Angeles, CA (MXL)				PO000504J	Mexicans	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000504J		spa	lots of indigineous languages, including Nahuatl, Mayan, Oto-Manguean and Mixe–Zoquean
ALFRED	SA004111H	Puerto Rican in Puerto Rico (PUR)				PO000638R	Puerto_Rican	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000638R		eng, spa	influences from Taíno and various Western African Bantu languages
ALFRED	SA004109O	Colombian in Medellín, Colombia (CLM)				PO000503I	Colombian	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000503I		spa	
ALFRED	SA004245P	Peruvian in Lima, Peru (PEL)				PO000680O	Peruvian	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000680O		spa, que, aym	
ALFRED	SA004246Q	Gujarati Indians in Houston, Texas, USA (GIH)				PO000785U	Gujarati	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000785U		guj	
ALFRED	SA004240K	Punjabi in Lahore, Pakistan (PJL)				PO000675S	Punjabi	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000675S		pan, pnb	
ALFRED	SA004239S	Bengali in Bangladesh (BEB)				PO000839U	Bengali	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000839U		ben	
ALFRED	SA004241L	Sri Lankan Tamil in the UK (STU)				PO000354M	Tamil	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000354M		tam	
ALFRED	SA004247R	Indian Telugu in the UK (ITU) 				PO000891S	Telugu	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000891S		tel	
ALFRED	SA001818S	Bantu (southern Africa), HGDP-CEPH				PO000041F	Bantu	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271818%27)	HGDP-CEPH individuals 993, 994, 1028, 1030, 1031, 1033, 1034, and 1035	nso, sot, her, tsn, kua, ndo, kwm, lnb, nne, zul	
ALFRED	SA001819T	Bantu (Kenya), HGDP-CEPH				PO000041F	Bantu	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271819%27)		kik, kam, guz, mer, luy	
ALFRED	SA001469U	San, HGDP-CEPH				PO000073K	San	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271469%27)		naq, hgm, vaj, knw, ktz, nmn	
ALFRED	SA004242M	African Caribbean in Barbados (ACB)				PO000336M	Afro_Caribbeans	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274242%27)		bjs, eng	
ALFRED	SA002256P	Biaka Pygmies, HGDP-CEPH				PO000005F	Biaka	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272256%27)		axk	
ALFRED	SA004248S	Esan in Nigera (ESN) 				PO000892T	Esan	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274248%27)		ish	
ALFRED	SA004363Q	Hausa				PO000097Q	Hausa	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274363%27)		hau	
ALFRED	SA004362P	Ibo				PO000096P	Ibo	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274362%27)		ibo	
ALFRED	SA004243N	Gambian in Western Division , Mandinka (GWD)				PO000284O	Malinke	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274243%27)		mnk	
ALFRED	SA001466R	Mbuti Pygmies, HGDP-CEPH				PO000006G	Mbuti	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271466%27)	Subsample of SA004361O	les, efe, asv	
ALFRED	SA004361O	Mbuti Pygmies				PO000006G	Mbuti	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274361%27)	Supersample of SA001466R	les, efe, asv	
ALFRED	SA001468T	Yoruba, HGDP-CEPH				PO000036J	Yoruba	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271468%27)		yor	
ALFRED	SA004048Q	Yoruba in Ibadan, Nigeria (YRI)				PO000036J	Yoruba	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274048%27)		yor	
ALFRED	SA004365S	Chagga				PO000324J	Chagga	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274365%27)		hka, old, vun, rof, jmc, rwk	
ALFRED	SA004368V	Ethiopian Jews				PO000015G	Jews_Ethiopian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274368%27)		amh, tir, gez, awn, byn, xan, ahg	
ALFRED	SA004046O	Luhya in Webuye, Kenya (LWK)				PO000867V	Luhya	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274046%27)		luy, myx, bxk, lts	
ALFRED	SA004364R	Masai				PO000456P	Masai	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274364%27)		mas	
ALFRED	SA004366T	Sandawe				PO000661N	Sandawe	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274366%27)		sad	
ALFRED	SA004367U	Zaramo				PO000807P	Zaramo	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274367%27)		zaj, swa, swh	
ALFRED	SA004369W	African Americans				PO000098R	African_Americans	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274369%27)		eng	various Western African Bantu languages
ALFRED	SA004047P	African Ancestry in SW USA (ASW)				PO000098R	African_Americans	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274047%27)		eng	various Western African Bantu languages
ALFRED	SA001467S	Mandenka, HGDP-CEPH				PO000543M	Mandenka	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271467%27)	Claimed to be from “Central African Republic”, but there’s no such ethnic group there and the geographic coordinates given by the HGDP-CEPTH (12N 12W) fall within Guinea and close to Senegal, within the attested area of the Mandinka/Malinke ethnic group. 	man, emk, mku, mlq, mnk, msc, mwk	
ALFRED	SA004244O	Mende in Sierra Leone (MSL)				PO000640K	Mende	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274244%27)		men	
ALFRED	SA001471N	Mozabite, HGDP-CEPH				PO000570M	Mozabite	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271471%27)		mzb	
ALFRED	SA002254N	Bedouin, HGDP-CEPH				PO000571N	Bedouin	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272254%27)		ara, arb, ajp	
ALFRED	SA002257Q	Druze, HGDP-CEPH				PO000008I	Druze	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272257%27)		ara, arb, ajp	
ALFRED	SA004370O	Yemenite Jews				PO000085N	Jews_Yemenite	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274370%27)		jye, heb	
ALFRED	SA001474Q	Palestinian, HGDP-CEPH				PO000572O	Palestinian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271474%27)		ara, arb, ajp	
ALFRED	SA004371P	Samaritans				PO000095O	Samaritans	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274371%27)		sam, heb, smp, ara, arb, ajp	
ALFRED	SA004584V	Abhaz				PO000844Q	Abkhaz	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274584%27)		abk	
ALFRED	SA001509P	Adygei, HGDP-CEPH				PO000017I	Adygei	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271509%27)		ady	
ALFRED	SA004585W	Adygei				PO000017I	Adygei	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274585%27)		ady	
ALFRED	SA004373R	Adygei				PO000017I	Adygei			ady	
ALFRED	SA004615Q	Bashkir				PO000564P	Bashkir	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274615%27)		bak	
ALFRED	SA001504K	Basques, HGDP-CEPH 				PO000042G	Basque	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271504%27)		eus	
ALFRED	SA004586X	Belarus				PO000437O	Belarusian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274586%27)		bel	
ALFRED	SA004589A	Chechen				PO000922N	Chechen	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274589%27)		che	
ALFRED	SA004588Z	Cherkes				PO000345M	Cherkess	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274588%27)		kbd	
ALFRED	SA004374S	Chuvash				PO000327M	Chuvash	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274374%27)		chv	
ALFRED	SA004600K	Chuvash				PO000327M	Chuvash	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274600%27)		chv	
ALFRED	SA004392S	Danes				PO000007H	Danes	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274392%27)		dan	
ALFRED	SA003028N	Estonian				PO000742N	Estonian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%273028%27)		est, ekk, vro	
ALFRED	SA004377V	Finns				PO000018J	Finns	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274377%27)		fin	
ALFRED	SA001503J	French, HGDP-CEPH				PO000111D	French	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271503%27)		fra	
ALFRED	SA004375T	Hungarians				PO000453M	Hungarian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274375%27)		hun	
ALFRED	SA004378W	Irish				PO000057M	Irish	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274378%27)		gle, eng	
ALFRED	SA001507N	Tuscan, HGDP-CEPH				PO000137L	Italians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271507%27)		ita	
ALFRED	SA002255O	Italian - (Bergamo, HGDP-CEPH)				PO000137L	Italians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272255%27)		ita	
ALFRED	SA004372Q	Ashkenazi				PO000038L	Jews_Ashkenazi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274372%27)		yid, heb	
ALFRED	SA004590S	Kabardin				PO000406K	Kabardinian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274590%27)		kbd	
ALFRED	SA004591T	Karachay				PO000642M	Karachay	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274591%27)		krc	
ALFRED	SA004617S	Karelian				PO000923O	Karelians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274617%27)		krl	
ALFRED	SA004623P	Megrel				PO000925Q	Megrelians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274623%27)		xmf, kat	
ALFRED	SA004598A	Moldovan				PO000674R	Moldovan	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274598%27)		mol, ron, rum	
ALFRED	SA004599B	Mordva				PO000117J	Mordvin	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274599%27)		myv, mdf	
ALFRED	SA001508O	Orcadians, HGDP-CEPH				PO000586T	Orcadian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271508%27)		nrn, sco, eng	
ALFRED	SA001510H	Russians, HGDP-CEPH				PO000019K	Russians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271510%27)		rus	
ALFRED	SA004376U	Russian Archangel'sk				PO000019K	Russians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274376%27)		rus	
ALFRED	SA004601L	Russian Novosibirsk				PO000019K	Russians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274601%27)		rus	
ALFRED	SA004603N	Russian Starover 				PO000019K	Russians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274603%27)		rus, chu	
ALFRED	SA001505L	Sardinian, HGDP-CEPH				PO000411G	Sardinian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271505%27)		srd, ita	
ALFRED	SA004604O	Tatar				PO000565Q	Tatar	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274604%27)		tat	
ALFRED	SA004607R	Udmurt				PO000566R	Udmurt	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274607%27)		udm	
ALFRED	SA004608S	Ukrainian				PO000624M	Ukrainian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274608%27)		ukr	
ALFRED	SA001482P	Burusho, HGDP-CEPH				PO000450J	Burusho	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271482%27)		bsk	
ALFRED	SA001481O	Kalash, HGDP-CEPH				PO000449R	Kalash	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271481%27)		kls	
ALFRED	SA002262M	Pathan, HGDP-CEPH				PO000355N	Pashtun	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272262%27)		pus, pbt, pbu, pst	
ALFRED	SA004593V	Kazakh				PO000089R	Kazakh	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274593%27)		kaz	
ALFRED	SA004380P	Khanty				PO000325K	Khanty	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274380%27)		kca	
ALFRED	SA004595X	Khanty				PO000325K	Khanty	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274595%27)		kca	
ALFRED	SA004379X	KomiZyriane				PO000326L	Komi_Zyrian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274379%27)		kom, kpv	
ALFRED	SA004596Y	Komi				PO000326L	Komi_Zyrian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274596%27)		kom, kpv	
ALFRED	SA004597Z	Kyrgyz				PO000478T	Kyrgyz	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274597%27)		kir	
ALFRED	SA001489W	Mongola, HGDP-CEPH				PO000502H	Mongolian	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271489%27)		mon, khk	
ALFRED	SA004609T	Uzbek				PO000479U	Uzbek	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274609%27)		uzb, uzn, uzs	
ALFRED	SA001476S	Balochi, HGDP-CEPH				PO000574Q	Balochi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271476%27)		bal, bcc, bgn, bgp	
ALFRED	SA001478U	Makrani, HGDP-CEPH				PO000574Q	Balochi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271478%27)		bal, bcc, bgn, bgp	
ALFRED	SA001475R	Brahui, HGDP-CEPH				PO000573P	Brahui	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271475%27)		brh	
ALFRED	SA001477T	Hazara, HGDP-CEPH				PO000575R	Hazara	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271477%27)		haz	
ALFRED	SA001479V	Sindhi, HGDP-CEPH				PO000576S	Sindhi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271479%27)		snd	
ALFRED	SA004386V	Ami				PO000002C	Ami	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274386%27)		ami	
